http://data.europa.eu/8s8/c_d1e10213,Semi-supervised Learning,Supervised Learning,machine learning approach that combines supervised and unsupervised learning by using both labeled and unlabeled data to train artificial intelligence models for classification and regression tasks
http://data.europa.eu/8s8/c_c189a550,Decision Trees,Supervised Learning,"supervised learning approach, applicable to classification and regression tasks, featuring a hierarchical, tree-like structure with root, branch, internal- and leaf-nodes, employed in statistics, data mining, and machine learning as a predictive model to infer conclusions about observations"
http://data.europa.eu/8s8/c_ae471bf8,Unsupervised Learning,Machine Learning,"machine learning approach that uses unlabelled data to analyse and cluster data without human intervention to reveal hidden patterns or groupings, often used in statistics, data mining and related fields"
http://data.europa.eu/8s8/c_6b807cf0,Bayesian Learning,Machine Learning,"machine learning approach based on Bayesian networks, probabilistic models based on directed acyclic graphs, enabling a direct representation of causal relations between variables"
http://data.europa.eu/8s8/c_0716079e,Self-supervised Learning,Machine Learning,"machine learning approach that uses unsupervised learning for tasks that typically require supervision, generating implicit labels from unstructured data, where models are trained on a task using the data itself to provide supervisory signals, often used in neural networks to exploit inherent structures or relationships within input data to generate training signals"
http://data.europa.eu/8s8/c_755607b9,Reinforcement Learning,Machine Learning,"machine learning approach that focuses on decision making by autonomous agents capable of making independent decisions and responding to their environment without direct human instruction, addressing sequential decision problems in uncertain environments"
http://data.europa.eu/8s8/c_07614cb8,Artificial Intelligence Systems,,"machine-based system demonstrating varying degrees of autonomy and adaptiveness after deployment, generating outputs such as predictions, content, recommendations, or decisions to influence physical or virtual environments"
http://data.europa.eu/8s8/c_c4dcd92d,General-purpose AI System,Artificial Intelligence Systems,"artificial intelligence system based on a general-purpose model and capable of serving a variety of purposes, either in direct use or integrated with other AI systems"
http://data.europa.eu/8s8/c_bdaec72d,Reasoning System,Artificial Intelligence Systems,"artificial intelligence systems that uses available information to generate predictions, make inferences and draw conclusions, involving the representation of data in machine-processable form and application of logic to arrive at decisions"
http://data.europa.eu/8s8/c_2610a020,Expert System,Artificial Intelligence Systems,"artificial intelligence system emulating human expert decision-making abilities, addressing complex problems through reasoning across knowledge bases primarily represented as if-then rules, and comprising two sub-systems: an inference engine for applying rules to known facts and deducing new facts, and a knowledge base containing facts and rules; potentially featuring explanation and debugging capabilities"
http://data.europa.eu/8s8/c_bf802b85,Robotic Process Automation,Artificial Intelligence Systems,"technology focused on automation of repetitive, routine, rule-based human tasks"
http://data.europa.eu/8s8/c_07b3c97d,Robotics,Artificial Intelligence Systems,"the science of designing, engineering and using robots, i.e. machines controlled by computers which perform jobs automatically"
http://data.europa.eu/8s8/c_ed2b1eb5,Edge AI,Artificial Intelligence Systems,"the deployment and execution of AI and ML models on Edge devices, including smartphones, IoT sensors, industrial controllers, and other resource-constrained devices located at the Edge of the network and closer to the data sources"
http://data.europa.eu/8s8/c_eb540d6c,Cyber-physical System,Robotics,"engineered system built from, and depending upon, the seamless integration of computation and physical components"
