dpa,dpa_str_en,dpa_str_de,loc,laws,web
http://w3id.org/dpv/dpv-juris#DPA-DE-RP,,Der Landesbeauftragte für den Datenschutz und die Informationsfreiheit Rheinland-Pfalz,http://w3id.org/dpv/dpv-juris#DPA-DE-RP,"http://w3id.org/dpv/dpv-juris#DE-BDSG,http://w3id.org/dpv/dpv-juris#DE-RP-LDSG,http://w3id.org/dpv/dpv-juris#EU-GDPR",https://www.datenschutz.rlp.de/
http://w3id.org/dpv/dpv-juris#DPA-EE,Estonian Data Protection Inspectorate,,http://w3id.org/dpv/dpv-juris#EE,http://w3id.org/dpv/dpv-juris#EU-GDPR,http://www.aki.ee/
http://w3id.org/dpv/dpv-juris#DPA-ES,Spanish Data Protection Agency (AEPD),,http://w3id.org/dpv/dpv-juris#ES,http://w3id.org/dpv/dpv-juris#EU-GDPR,https://www.aepd.es/
http://w3id.org/dpv/dpv-juris#DPA-FI,Office of the Data Protection Ombudsman,,http://w3id.org/dpv/dpv-juris#FI,http://w3id.org/dpv/dpv-juris#EU-GDPR,https://tietosuoja.fi/
http://w3id.org/dpv/dpv-juris#DPA-FR,National Commission on Informatics and Liberty (CNIL),,http://w3id.org/dpv/dpv-juris#FR,http://w3id.org/dpv/dpv-juris#EU-GDPR,https://www.cnil.fr/
http://w3id.org/dpv/dpv-juris#DPA-GR,Hellenic Data Protection Authority,,http://w3id.org/dpv/dpv-juris#GR,http://w3id.org/dpv/dpv-juris#EU-GDPR,http://dpa.gr
http://w3id.org/dpv/dpv-juris#DPA-HR,Croatian Personal Data Protection Agency,,http://w3id.org/dpv/dpv-juris#HR,http://w3id.org/dpv/dpv-juris#EU-GDPR,http://www.azop.hr/
http://w3id.org/dpv/dpv-juris#DPA-HU,Hungarian National Authority for Data Protection and Freedom of Information,,http://w3id.org/dpv/dpv-juris#HU,http://w3id.org/dpv/dpv-juris#EU-GDPR,http://www.naih.hu/
http://w3id.org/dpv/dpv-juris#DPA-IE,Data Protection Commission (DPC),,http://w3id.org/dpv/dpv-juris#IE,http://w3id.org/dpv/dpv-juris#EU-GDPR,http://www.dataprotection.ie
http://w3id.org/dpv/dpv-juris#DPA-IT,Data Protection Commission,,http://w3id.org/dpv/dpv-juris#IT,http://w3id.org/dpv/dpv-juris#EU-GDPR,https://www.garanteprivacy.it/
http://w3id.org/dpv/dpv-juris#DPA-LT,State Data Protection Inspectorate,,http://w3id.org/dpv/dpv-juris#LT,http://w3id.org/dpv/dpv-juris#EU-GDPR,https://ada.lt
http://w3id.org/dpv/dpv-juris#DPA-LU,National Commission for Data Protection,,http://w3id.org/dpv/dpv-juris#LU,http://w3id.org/dpv/dpv-juris#EU-GDPR,https://cnpd.public.lu
http://w3id.org/dpv/dpv-juris#DPA-LV,Data State Inspectorate,,http://w3id.org/dpv/dpv-juris#LV,http://w3id.org/dpv/dpv-juris#EU-GDPR,http://www.dvi.gov.lv/
http://w3id.org/dpv/dpv-juris#DPA-MT,Office of the Information and Data Protection Commissioner,,http://w3id.org/dpv/dpv-juris#MT,http://w3id.org/dpv/dpv-juris#EU-GDPR,https://idpc.org.mt
http://w3id.org/dpv/dpv-juris#DPA-NL,Dutch Data Protection Authority,,http://w3id.org/dpv/dpv-juris#NL,http://w3id.org/dpv/dpv-juris#EU-GDPR,https://autoriteitpersoonsgegevens.nl
http://w3id.org/dpv/dpv-juris#DPA-PL,Personal Data Protection Office,,http://w3id.org/dpv/dpv-juris#PL,http://w3id.org/dpv/dpv-juris#EU-GDPR,https://uodo.gov.pl/
http://w3id.org/dpv/dpv-juris#DPA-PT,Comissão Nacional de Protecção de Dados,,http://w3id.org/dpv/dpv-juris#PT,http://w3id.org/dpv/dpv-juris#EU-GDPR,https://www.cnpd.pt
http://w3id.org/dpv/dpv-juris#DPA-RO,National Supervisory Authority for Personal Data Processing,,http://w3id.org/dpv/dpv-juris#RO,http://w3id.org/dpv/dpv-juris#EU-GDPR,http://www.dataprotection.ro/
http://w3id.org/dpv/dpv-juris#DPA-SE,Swedish Authority for Privacy Protection,,http://w3id.org/dpv/dpv-juris#SE,http://w3id.org/dpv/dpv-juris#EU-GDPR,https://www.imy.se/
http://w3id.org/dpv/dpv-juris#DPA-SI,Information Commissioner of the Republic of Slovenia,,http://w3id.org/dpv/dpv-juris#SI,http://w3id.org/dpv/dpv-juris#EU-GDPR,https://www.ip-rs.si/
http://w3id.org/dpv/dpv-juris#DPA-SK,Office for Personal Data Protection of the Slovak Republic,,http://w3id.org/dpv/dpv-juris#SK,http://w3id.org/dpv/dpv-juris#EU-GDPR,http://www.dataprotection.gov.sk/
