"Term","Label","Description","ParentTerm","RelatedTerms","Relation","Comment","Source","Created","Modified","Status","Contributors","Resolution","","","","","","","","","","","","","","",""
"OptimisationForController","Optimisation for Controller","optimise activities and services for the Controller","dpv:ServiceOptimization","","","","","2019-04-05","","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"OptimiseUserInterface","Optimise User Interface","optimise interfaces presented to the user","dpv:OptimisationForConsumer","","","","","2019-04-05","","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"PersonalisedBenefits","Personalised Benefits","personalise benefits received by the user","dpv:ServicePersonalization","","","","","2019-04-05","","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"RequestedServiceProvision","Requested Service Provision","to deliver service as requested by the user or consumer.","dpv:ServiceProvision","","","","","","","proposed","","","","","","","","","","","","","","","","",""
"ServiceRecordManagement","Service Order Management","management of invoicing, orders, and records for service","dpv:ServiceProvision","","","","","","","proposed","","","","","","","","","","","","","","","","",""
"ResearchAndDevelopment","Research and Development","conduct research and development for new methods, products, or services","dpv:Purpose","","","","","2019-04-05","","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Security","Security","Data processing to ensure the safety of people or goods.","dpv:Purpose","","","","Belgian DPA ROPA Template","2019-04-05","","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"SellProducts","Sell Products","Sell products or services","dpv:ServiceProvision","","","Was commercial interest, changed to reflect selling something","","","","proposed","","","","","","","","","","","","","","","","",""
"SellDataToThirdParties","Sell Data to Third Parties","sell data or information to third parties","dpv:SellProducts","","","Was subclass of commercial interest, changed to reflect selling something","","2019-04-05","","proposed","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"SellInsightsFromData","Sell Insights from Data","sell or commercially provide insights obtained from analysis of data","dpv:SellProducts","","","Was subclass of commercial interest, changed to reflect selling something","","2019-04-05","","proposed","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"SellProductsToDataSubject","Sell Products to Data Subject","sell products or services","dpv:SellProducts","","","Was subclass of commercial interest, changed to reflect selling something","","2019-04-05","","proposed","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"ServiceOptimization","Service Optimization","optimise service or activity","dpv:ServiceProvision","","","Subclass of ServiceProvision since optimisation is usually considered part of providing services","","2019-04-05","","proposed","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"ServicePersonalization","Service Personalization","personalise service or activity","dpv:ServiceProvision","","","Subclass of ServiceProvision since personalisation is usually considered part of providing services","","2019-04-05","","proposed","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"TechnicalServiceProvision","Technical Service Provision","technical processes necessary for delivering service","dpv:ServiceProvision","","","","","","","proposed","","","","","","","","","","","","","","","","",""
"CreatePersonalizedRecommendations","Create Personalized Recommendations","create and provide personalised recommendations","dpv:ServicePersonalization","","","","(SPECIAL Project,https://www.specialprivacy.eu/)","2019-11-26","","accepted","Harshvardhan J. Pandit, Rudy Jacob","https://www.w3.org/2019/11/26-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"CreateEventRecommendations","Create Event Recommendations","create and provide personalised recommendations for events","dpv:CreatePersonalizedRecommendations","","","","(SPECIAL Project,https://www.specialprivacy.eu/)","2019-11-26","","accepted","Harshvardhan J. Pandit, Rudy Jacob","https://www.w3.org/2019/11/26-dpvcg-minutes.html","","","","","","","","","","","","","","",""
